timestamp,name,price,change_24h,market_cap
2025-08-11T14:02:46.533451,"Bitcoin
BTC","$119,893.76",0.29%,4.43%
2025-08-11T14:02:46.847016,"Ethereum
ETH","$4,274.08",2.26%,18.25%
2025-08-11T14:02:47.161283,"XRP
XRP",$3.20,0.16%,5.91%
2025-08-11T14:02:47.465165,"Tether
USDT",$1.00,0.03%,0.01%
2025-08-11T14:02:47.855850,"BNB
BNB",$798.23,0.16%,5.05%
2025-08-11T14:02:48.131271,"Solana
SOL",$179.07,0.32%,8.69%
2025-08-11T14:02:49.485782,"USDC
USDC",$1.00,0.02%,0.02%
2025-08-11T14:02:49.939282,"Dogecoin
DOGE",$0.2288,0.63%,12.88%
2025-08-11T14:02:50.442205,"TRON
TRX",$0.3406,0.07%,2.95%
2025-08-11T14:02:50.713934,"Cardano
ADA",$0.7929,0.74%,6.62%
2025-08-11T17:03:46.224897,"Bitcoin
BTC","$120,025.66",0.23%,4.09%
2025-08-11T17:03:46.579577,"Ethereum
ETH","$4,315.69",0.32%,17.10%
2025-08-11T17:03:47.016631,"XRP
XRP",$3.19,0.35%,4.00%
2025-08-11T17:03:47.390324,"Tether
USDT",$1.00,0.02%,0.01%
2025-08-11T17:03:47.754701,"BNB
BNB",$807.73,0.24%,5.15%
2025-08-11T17:03:48.083127,"Solana
SOL",$179.14,0.37%,6.61%
2025-08-11T17:03:48.424304,"USDC
USDC",$0.9998,0.00%,0.02%
2025-08-11T17:03:48.815882,"Dogecoin
DOGE",$0.2307,0.02%,11.03%
2025-08-11T17:03:49.217099,"TRON
TRX",$0.3446,0.14%,3.81%
2025-08-11T17:03:49.583591,"Cardano
ADA",$0.7952,0.08%,5.66%
